School Name,School Code,Subject,M+E #,M+E %,E #,E %,M #,M %,PM #,PM %,NM #,NM %,No. of Students Included,Part. Rate %,Avg. Scaled Score,SGP,Included In SGP,Ach_PCTL,Year
Arlington - Cyrus E Dallin,100025,ELA,         169,78,          37,17,         132,61,          42,19,           6,3,         217,97,510.9,48.4,          69,,2021
Arlington - Cyrus E Dallin,100025,MATH,         114,53,          18,8,          96,44,          86,40,          16,7,         216,97,501.4,37.2,          69,,2021
Arlington - Cyrus E Dallin,100025,SCI,          48,70,           7,10,          41,59,          18,26,           3,4,          69,99,509.0,,,,2021
Arlington - Gibbs School,100305,ELA,         334,73,         124,27,         210,46,          91,20,          30,7,         455,96,514.7,54.5,         429,,2021
Arlington - Gibbs School,100305,MATH,         286,63,          47,10,         239,53,         143,31,          25,6,         454,96,505.9,37.7,         430,,2021
Arlington - Hardy,100030,ELA,         136,69,          36,18,         100,51,          53,27,           9,5,         198,96,508.5,40.1,          63,,2021
Arlington - Hardy,100030,MATH,         104,53,          19,10,          85,43,          79,40,          15,8,         198,95,501.1,32.7,          63,,2021
Arlington - Hardy,100030,SCI,          44,69,           9,14,          35,55,          17,27,           3,5,          64,97,508.0,,,,2021
Arlington - John A Bishop,100005,ELA,         126,74,          39,23,          87,51,          40,23,           5,3,         171,97,512.2,44.4,          53,,2021
Arlington - John A Bishop,100005,MATH,         104,61,          22,13,          82,48,          62,36,           5,3,         171,97,505.7,39.6,          52,,2021
Arlington - John A Bishop,100005,SCI,          45,78,          11,19,          34,59,          10,17,           3,5,          58,94,511.3,,,,2021
Arlington - M Norcross Stratton,100055,ELA,         145,70,          32,16,         113,55,          52,25,           9,4,         206,100,508.0,38.4,          63,,2021
Arlington - M Norcross Stratton,100055,MATH,         109,53,          23,11,          86,42,          76,37,          21,10,         206,100,501.4,43.8,          63,,2021
Arlington - M Norcross Stratton,100055,SCI,          41,60,          15,22,          26,38,          15,22,          12,18,          68,99,506.4,,,,2021
Arlington - Ottoson Middle,100410,ELA,         563,69,         151,19,         412,51,         214,26,          34,4,         811,93,511.5,48.7,         770,,2021
Arlington - Ottoson Middle,100410,MATH,         525,65,         107,13,         418,52,         250,31,          35,4,         810,93,507.6,45.2,         771,,2021
Arlington - Ottoson Middle,100410,SCI,         206,67,          60,19,         146,47,          90,29,          13,4,         309,97,509.9,,,,2021
Arlington - Peirce,100045,ELA,          99,75,          10,8,          89,67,          30,23,           3,2,         132,97,508.1,47.4,          38,,2021
Arlington - Peirce,100045,MATH,          76,58,           8,6,          68,52,          49,37,           7,5,         132,97,500.5,57.7,          38,,2021
Arlington - Peirce,100045,SCI,          30,79,           5,13,          25,66,           7,18,           1,3,          38,98,516.8,,,,2021
Arlington - Thompson,100050,ELA,         143,68,          32,15,         111,53,          56,27,          10,5,         209,90,508.1,38.8,          71,,2021
Arlington - Thompson,100050,MATH,         120,57,          17,8,         103,49,          65,31,          24,11,         209,90,500.4,33.3,          71,,2021
Arlington - Thompson,100050,SCI,          48,64,          11,15,          37,49,          18,24,           9,12,          75,93,507.3,,,,2021
Ashburnham-Westminster - Briggs Elementary,6100025,ELA,         122,55,          14,6,         108,49,          93,42,           6,3,         221,98,501.9,31.1,          71,,2021
Ashburnham-Westminster - Briggs Elementary,6100025,MATH,          85,38,           5,2,          80,36,         114,52,          22,10,         221,98,493.7,30.2,          72,,2021
Ashburnham-Westminster - Briggs Elementary,6100025,SCI,          35,49,           3,4,          32,44,          34,47,           3,4,          72,97,499.9,,,,2021
Ashburnham-Westminster - Overlook Middle School,6100305,ELA,         295,54,          37,7,         258,47,         199,37,          50,9,         544,98,501.3,49.2,         524,,2021
Ashburnham-Westminster - Overlook Middle School,6100305,MATH,         177,33,           6,1,         171,31,         299,55,          67,12,         543,98,492.0,33.1,         522,,2021
Ashburnham-Westminster - Overlook Middle School,6100305,SCI,          71,44,           8,5,          63,39,          83,52,           7,4,         161,98,498.5,,,,2021
Ashburnham-Westminster - Westminster Elementary,6100005,ELA,         123,47,           8,3,         115,44,         127,48,          12,5,         262,99,498.8,39.4,          98,,2021
Ashburnham-Westminster - Westminster Elementary,6100005,MATH,          91,35,           3,1,          88,34,         142,54,          29,11,         262,99,491.8,39.2,          98,,2021
Ashburnham-Westminster - Westminster Elementary,6100005,SCI,          42,41,           2,2,          40,39,          56,55,           4,4,         102,100,495.3,,,,2021
Ashland - Ashland Middle,140405,ELA,         348,55,          83,13,         265,42,         210,33,          78,12,         636,97,502.2,44.2,         600,,2021
Ashland - Ashland Middle,140405,MATH,         316,50,          62,10,         254,40,         237,37,          85,13,         638,97,499.6,42.7,         600,,2021
Ashland - Ashland Middle,140405,SCI,         112,58,          27,14,          85,44,          61,31,          21,11,         194,96,503.5,,,,2021
Ashland - David Mindess,140015,ELA,         378,63,          71,12,         307,51,         172,29,          47,8,         597,98,505.1,45.5,         189,,2021
Ashland - David Mindess,140015,MATH,         296,50,          54,9,         242,41,         222,37,          79,13,         597,98,498.4,47.6,         189,,2021
Ashland - David Mindess,140015,SCI,         108,54,          15,8,          93,47,          66,33,          25,13,         199,98,500.3,,,,2021
Athol-Royalston - Athol Community Elementary School,6150020,ELA,          77,42,           6,3,          71,39,          84,46,          23,13,         184,94,493.8,,,,2021
Athol-Royalston - Athol Community Elementary School,6150020,MATH,          50,27,           4,2,          46,25,          87,47,          48,26,         185,94,484.0,,,,2021
Athol-Royalston - Athol-Royalston Middle School,6150305,ELA,          94,24,           7,2,          87,22,         175,45,         120,31,         389,98,482.8,30.2,         376,,2021
Athol-Royalston - Athol-Royalston Middle School,6150305,MATH,          59,15,           4,1,          55,14,         211,54,         119,31,         389,98,480.0,28.6,         378,,2021
Athol-Royalston - Athol-Royalston Middle School,6150305,SCI,          49,31,          10,6,          39,25,          78,49,          32,20,         159,96,490.2,,,,2021
Athol-Royalston - Royalston Community School,6150050,ELA,          45,61,          12,16,          33,45,          26,35,           3,4,          74,100,506.9,42.2,          36,,2021
Athol-Royalston - Royalston Community School,6150050,MATH,          40,54,           6,8,          34,46,          28,38,           6,8,          74,100,500.4,39.8,          36,,2021
Athol-Royalston - Royalston Community School,6150050,SCI,           9,47,           0,0,           9,47,           8,42,           2,11,          19,100,498.2,,,,2021
Atlantis Charter (District) - Atlantis Charter School,4910550,ELA,         257,39,          32,5,         225,34,         293,45,         103,16,         653,100,493.0,31.0,         426,,2021
Atlantis Charter (District) - Atlantis Charter School,4910550,MATH,         154,24,           5,1,         149,23,         355,54,         144,22,         653,100,485.2,24.6,         426,,2021
Atlantis Charter (District) - Atlantis Charter School,4910550,SCI,          56,29,           5,3,          51,26,         101,52,          37,19,         194,100,487.9,,,,2021
Attleboro - A. Irvin Studley Elementary School,160001,ELA,          78,56,          15,11,          63,45,          55,40,           6,4,         139,100,502.8,,,,2021
Attleboro - A. Irvin Studley Elementary School,160001,MATH,          50,36,           6,4,          44,32,          59,42,          30,22,         139,100,489.6,,,,2021
Attleboro - Cyril K. Brennan Middle School,160315,ELA,         219,38,          27,5,         192,34,         239,42,         115,20,         573,96,493.3,31.2,         514,,2021
Attleboro - Cyril K. Brennan Middle School,160315,MATH,         144,25,          15,3,         129,23,         294,51,         134,23,         572,96,487.2,25.3,         513,,2021
Attleboro - Cyril K. Brennan Middle School,160315,SCI,          95,34,           8,3,          87,32,         116,42,          65,24,         276,97,490.3,,,,2021
Attleboro - Hill-Roberts Elementary School,160045,ELA,          78,47,           8,5,          70,42,          77,46,          12,7,         167,100,497.2,,,,2021
Attleboro - Hill-Roberts Elementary School,160045,MATH,          54,32,           5,3,          49,29,          76,46,          37,22,         167,100,487.3,,,,2021
Attleboro - Hyman Fine Elementary School,160040,ELA,         100,56,          21,12,          79,44,          62,35,          16,9,         178,99,501.5,,,,2021
Attleboro - Hyman Fine Elementary School,160040,MATH,          60,34,           2,1,          58,33,          78,44,          40,22,         178,99,487.4,,,,2021
Attleboro - Peter Thacher Elementary School,160050,ELA,          79,46,          14,8,          65,38,          63,37,          28,16,         170,99,500.0,,,,2021
Attleboro - Peter Thacher Elementary School,160050,MATH,          53,31,           5,3,          48,28,          68,40,          49,29,         170,99,487.6,,,,2021
Attleboro - Robert J. Coelho Middle School,160305,ELA,         255,42,          21,3,         234,39,         262,43,          87,14,         604,99,494.0,34.0,         582,,2021
Attleboro - Robert J. Coelho Middle School,160305,MATH,         232,38,          22,4,         210,35,         290,48,          82,14,         604,99,493.4,33.5,         581,,2021
Attleboro - Robert J. Coelho Middle School,160305,SCI,         141,48,          28,10,         113,39,         124,43,          26,9,         291,99,499.9,,,,2021
Attleboro - Thomas Willett Elementary School,160035,ELA,          54,44,           6,5,          48,39,          53,43,          15,12,         122,98,494.3,,,,2021
Attleboro - Thomas Willett Elementary School,160035,MATH,          34,28,           1,1,          33,27,          58,48,          30,25,         122,98,484.3,,,,2021
Attleboro - Wamsutta Middle School,160320,ELA,         244,44,          30,5,         214,39,         236,43,          70,13,         550,99,495.9,32.6,         514,,2021
Attleboro - Wamsutta Middle School,160320,MATH,         204,37,          20,4,         184,33,         275,50,          71,13,         550,99,492.6,32.4,         516,,2021
Attleboro - Wamsutta Middle School,160320,SCI,          91,37,          11,4,          80,33,         121,49,          34,14,         246,99,494.1,,,,2021
Auburn - Auburn Middle,170305,ELA,         289,48,          57,10,         232,39,         235,39,          75,13,         599,97,499.4,31.3,         575,,2021
Auburn - Auburn Middle,170305,MATH,         254,42,          30,5,         224,37,         279,47,          66,11,         599,97,496.2,31.6,         575,,2021
Auburn - Auburn Middle,170305,SCI,          85,49,          18,10,          67,38,          75,43,          15,9,         175,97,501.1,,,,2021
Auburn - Swanson Road Intermediate School,170030,ELA,         301,56,          47,9,         254,47,         194,36,          42,8,         537,97,502.5,34.5,         182,,2021
Auburn - Swanson Road Intermediate School,170030,MATH,         216,40,          25,5,         191,36,         240,45,          80,15,         536,97,493.4,34.0,         182,,2021
Auburn - Swanson Road Intermediate School,170030,SCI,         106,57,          17,9,          89,48,          62,34,          17,9,         185,96,503.2,,,,2021
Avon - Avon Middle High School,180510,ELA,          59,51,          10,9,          49,42,          47,41,          10,9,         116,97,500.7,41.8,         107,,2021
Avon - Avon Middle High School,180510,MATH,          37,32,           4,3,          33,28,          66,57,          13,11,         116,97,492.3,42.8,         107,,2021
Avon - Avon Middle High School,180510,SCI,          16,33,           0,0,          16,33,          26,53,           7,14,          49,94,490.0,,,,2021
Avon - Ralph D Butler,180010,ELA,          96,45,           9,4,          87,41,          85,40,          33,15,         214,98,495.1,36.8,         108,,2021
Avon - Ralph D Butler,180010,MATH,          40,19,           3,1,          37,17,         112,52,          63,29,         215,98,481.8,29.0,         108,,2021
Avon - Ralph D Butler,180010,SCI,          25,42,           1,2,          24,40,          27,45,           8,13,          60,97,492.1,,,,2021
Ayer Shirley School District - Ayer Shirley Regional Middle School,6160305,ELA,         161,43,          25,7,         136,36,         168,44,          49,13,         378,94,496.8,40.7,         363,,2021
Ayer Shirley School District - Ayer Shirley Regional Middle School,6160305,MATH,         100,26,           8,2,          92,24,         221,58,          57,15,         378,94,489.1,27.6,         365,,2021
Ayer Shirley School District - Ayer Shirley Regional Middle School,6160305,SCI,          46,40,           7,6,          39,34,          58,50,          11,10,         115,92,496.2,,,,2021
Ayer Shirley School District - Lura A. White Elementary School,6160001,ELA,          72,44,           4,2,          68,42,          76,47,          15,9,         163,98,495.0,28.7,          51,,2021
Ayer Shirley School District - Lura A. White Elementary School,6160001,MATH,          43,26,           5,3,          38,23,          88,54,          32,20,         163,98,485.3,26.9,          51,,2021
Ayer Shirley School District - Lura A. White Elementary School,6160001,SCI,          29,52,           4,7,          25,45,          20,36,           7,13,          56,98,498.2,,,,2021
Ayer Shirley School District - Page Hilltop Elementary School,6160002,ELA,         113,54,          15,7,          98,46,          85,40,          13,6,         211,96,500.7,22.7,          68,,2021
Ayer Shirley School District - Page Hilltop Elementary School,6160002,MATH,          70,33,           8,4,          62,30,         110,52,          30,14,         210,95,490.6,32.6,          67,,2021
Ayer Shirley School District - Page Hilltop Elementary School,6160002,SCI,          34,49,           2,3,          32,46,          28,41,           7,10,          69,95,497.3,,,,2021
Barnstable - Barnstable Community Innovation School,200012,ELA,          34,45,           3,4,          31,41,          33,44,           8,11,          75,99,495.8,,,,2021
Barnstable - Barnstable Community Innovation School,200012,MATH,          22,29,           2,3,          20,27,          35,47,          18,24,          75,99,486.1,,,,2021
Barnstable - Barnstable High,200505,ELA,         125,37,           9,3,         116,35,         147,44,          64,19,         336,89,491.7,39.6,         309,,2021
Barnstable - Barnstable High,200505,MATH,          53,16,           0,0,          53,16,         200,59,          84,25,         337,89,482.1,21.0,         311,,2021
Barnstable - Barnstable High,200505,SCI,          83,30,          10,4,          73,26,         139,50,          54,20,         276,88,489.6,,,,2021
Barnstable - Barnstable Intermediate School,200315,ELA,         201,35,          30,5,         171,30,         216,38,         151,27,         568,83,489.4,32.7,         505,,2021
Barnstable - Barnstable Intermediate School,200315,MATH,         123,22,          10,2,         113,20,         302,53,         147,26,         572,84,484.4,24.7,         513,,2021
